"name","category","evas","longitude","latitude"
"Verden (Aller)",3,"08006076",9.237855,52.920818
"Viersen",3,"08000174",6.403896,51.254947
"Völklingen",3,"08000175",6.848156,49.249091
"Waiblingen",3,"08000180",9.299882,48.826124
"Waren (Müritz)",3,"08010361",12.680678,53.521512
"Warnemünde",3,"08013236",12.091271,54.176852
"Weiden (Oberpf)",3,"08000204",12.153846,49.67049
"Weil am Rhein",3,"08006272",7.60843992,47.5936076
"Weilheim (Oberbay)",3,"08000220",11.14286,47.845363
"Weimar",2,"08010366",11.326458,50.991487
"Weinheim (Bergstr) Hbf",3,"08000377",8.665351,49.553302
"Weißenfels",3,"08010368",11.970926,51.204615
"Wendlingen (Neckar)",3,"08006331",9.373011,48.672961
"Wesel",3,"08000242",6.627134,51.65584
"Westerland (Sylt)",3,"08006369",8.310925,54.906839
"Wetzlar",3,"08000383",8.503819,50.565631
"Wiesbaden Hbf",2,"08000250",8.243731,50.070791
"Wiesloch-Walldorf",3,"08006421",8.664146,49.291353
"Winnenden",3,"08006479",9.39229,48.879583
"Witten Hbf",3,"08000251",7.329442,51.435544
"Wittenberge",3,"08010382",11.762871,53.003115
"Wolfsburg Hbf",2,"08006552",10.787784,52.429498
"Worms Hbf",2,"08000257",8.356448,49.63494
"Wunstorf",3,"08000268",9.450976,52.422225
"Wuppertal Hbf",2,"08000266",7.149543,51.254363
"Wuppertal-Oberbarmen",3,"08006719",7.221483,51.273839
"Wuppertal-Vohwinkel",3,"08006718",7.071597,51.234259
"Würzburg Hbf",2,"08000260",9.93578,49.801796
"Zwickau (Sachs) Hbf",3,"08010397",12.474716,50.714668
